0.447491	0.447490	0.447489	0.447487	0.447486	0.447482	0.447478	0.447474	0.447468	0.447461	0.447452	0.447440	0.447426	0.447409	0.447388	0.447363	0.447332	0.447296	0.447253	0.447201	0.447140	0.447069	0.446986	0.446888	0.446773	0.446638	0.446479	0.446294	0.446078	0.445824	0.445528	0.445180	0.444772	0.444290	0.443721	0.443043	0.442232	0.441253	0.440055	0.438571	0.436696	0.434262	0.430982	0.426302	0.418962	0.405299	0.394213	0.384455	0.375368	0.366549	0.357706	0.348598	0.339054	0.329102	0.319413	0.312085	0.308973	0.308216	0.308072	0.308048	0.308044	0.308043	0.308043	0.308043	0.308043	0.308043	0.308043	0.308043	0.308043	0.308043	0.308043	0.308043	0.308043	0.308043	0.308043	0.308043	0.308043	0.308043	0.308043	0.308043	0.308043	0.308043	0.308043	0.308043	0.308043	0.308043	0.308043	0.308043	0.308043	0.308043	0.308043	0.308043	0.308043	0.308043	0.308043	0.308043	0.308043	0.308043	0.308043	0.308043	0.308043	0.308043	0.308043	0.308043	0.308043	0.308043	0.308043	0.308043	0.308043	0.308043	0.308043	0.308043	0.308043	0.308043	0.308043	0.308043	0.308043	0.308043	0.308043	0.308043	0.308043	0.308043	0.308043	0.308043	0.308043	0.308043	0.308043	0.308043	0.308043	0.308043	0.308043	0.308043	0.308043	0.308043	0.308043	0.308043	0.308043	0.308043	0.308043	0.308043	0.308043	0.308043	0.308043	0.308043	0.308043	0.308043	0.308043	0.308043	0.308043	0.308043	0.308043	0.308043	0.308043	0.308043	0.308043	0.308043	0.308043	0.308043	0.308043	0.308043
0.444684	0.444683	0.444682	0.444680	0.444678	0.444674	0.444669	0.444664	0.444657	0.444649	0.444638	0.444624	0.444607	0.444586	0.444561	0.444530	0.444493	0.444450	0.444398	0.444336	0.444264	0.444178	0.444077	0.443960	0.443821	0.443659	0.443468	0.443245	0.442985	0.442680	0.442323	0.441905	0.441414	0.440836	0.440152	0.439340	0.438369	0.437199	0.435775	0.434018	0.431814	0.428992	0.425281	0.420248	0.413225	0.403571	0.393910	0.384630	0.375646	0.366768	0.357793	0.348525	0.338820	0.328746	0.319051	0.311929	0.309023	0.308330	0.308200	0.308178	0.308174	0.308173	0.308173	0.308173	0.308173	0.308173	0.308173	0.308173	0.308173	0.308173	0.308173	0.308173	0.308173	0.308173	0.308173	0.308173	0.308173	0.308173	0.308173	0.308173	0.308173	0.308173	0.308173	0.308173	0.308173	0.308173	0.308173	0.308173	0.308173	0.308173	0.308173	0.308173	0.308173	0.308173	0.308173	0.308173	0.308173	0.308173	0.308173	0.308173	0.308173	0.308173	0.308173	0.308173	0.308173	0.308173	0.308173	0.308173	0.308173	0.308173	0.308173	0.308173	0.308173	0.308173	0.308173	0.308173	0.308173	0.308173	0.308173	0.308173	0.308173	0.308173	0.308173	0.308173	0.308173	0.308173	0.308173	0.308173	0.308173	0.308173	0.308173	0.308173	0.308173	0.308173	0.308173	0.308173	0.308173	0.308173	0.308173	0.308173	0.308173	0.308173	0.308173	0.308173	0.308173	0.308173	0.308173	0.308173	0.308173	0.308173	0.308173	0.308173	0.308173	0.308173	0.308173	0.308173	0.308173	0.308173	0.308173	0.308173
0.441552	0.441552	0.441550	0.441548	0.441545	0.441541	0.441536	0.441530	0.441521	0.441511	0.441498	0.441482	0.441462	0.441437	0.441406	0.441370	0.441327	0.441275	0.441214	0.441142	0.441056	0.440954	0.440835	0.440695	0.440531	0.440338	0.440112	0.439848	0.439539	0.439178	0.438756	0.438261	0.437681	0.437000	0.436196	0.435245	0.434113	0.432755	0.431115	0.429112	0.426638	0.423537	0.419596	0.414533	0.408048	0.400096	0.391589	0.382942	0.374257	0.365483	0.356501	0.347170	0.337392	0.327311	0.317841	0.311340	0.308913	0.308359	0.308256	0.308239	0.308236	0.308235	0.308235	0.308235	0.308235	0.308235	0.308235	0.308235	0.308235	0.308235	0.308235	0.308235	0.308235	0.308235	0.308235	0.308235	0.308235	0.308235	0.308235	0.308235	0.308235	0.308235	0.308235	0.308235	0.308235	0.308235	0.308235	0.308235	0.308235	0.308235	0.308235	0.308235	0.308235	0.308235	0.308235	0.308235	0.308235	0.308235	0.308235	0.308235	0.308235	0.308235	0.308235	0.308235	0.308235	0.308235	0.308235	0.308235	0.308235	0.308235	0.308235	0.308235	0.308235	0.308235	0.308235	0.308235	0.308235	0.308235	0.308235	0.308235	0.308235	0.308235	0.308235	0.308235	0.308235	0.308235	0.308235	0.308235	0.308235	0.308235	0.308235	0.308235	0.308235	0.308235	0.308235	0.308235	0.308235	0.308235	0.308235	0.308235	0.308235	0.308235	0.308235	0.308235	0.308235	0.308235	0.308235	0.308235	0.308235	0.308235	0.308235	0.308235	0.308235	0.308235	0.308235	0.308235	0.308235	0.308235	0.308235	0.308235
0.438017	0.438016	0.438014	0.438012	0.438008	0.438004	0.437998	0.437990	0.437981	0.437969	0.437954	0.437935	0.437911	0.437882	0.437846	0.437804	0.437753	0.437694	0.437622	0.437537	0.437436	0.437317	0.437178	0.437013	0.436821	0.436594	0.436330	0.436020	0.435658	0.435235	0.434741	0.434164	0.433488	0.432696	0.431766	0.430669	0.429371	0.427827	0.425979	0.423753	0.421050	0.417742	0.413672	0.408668	0.402595	0.395500	0.387755	0.379635	0.371263	0.362644	0.353716	0.344388	0.334627	0.324709	0.315834	0.310453	0.308696	0.308316	0.308246	0.308234	0.308232	0.308232	0.308232	0.308232	0.308232	0.308232	0.308232	0.308232	0.308232	0.308232	0.308232	0.308232	0.308232	0.308232	0.308232	0.308232	0.308232	0.308232	0.308232	0.308232	0.308232	0.308232	0.308232	0.308232	0.308232	0.308232	0.308232	0.308232	0.308232	0.308232	0.308232	0.308232	0.308232	0.308232	0.308232	0.308232	0.308232	0.308232	0.308232	0.308232	0.308232	0.308232	0.308232	0.308232	0.308232	0.308232	0.308232	0.308232	0.308232	0.308232	0.308232	0.308232	0.308232	0.308232	0.308232	0.308232	0.308232	0.308232	0.308232	0.308232	0.308232	0.308232	0.308232	0.308232	0.308232	0.308232	0.308232	0.308232	0.308232	0.308232	0.308232	0.308232	0.308232	0.308232	0.308232	0.308232	0.308232	0.308232	0.308232	0.308232	0.308232	0.308232	0.308232	0.308232	0.308232	0.308232	0.308232	0.308232	0.308232	0.308232	0.308232	0.308232	0.308232	0.308232	0.308232	0.308232	0.308232	0.308232	0.308232	0.308232
0.433976	0.433976	0.433974	0.433971	0.433967	0.433962	0.433955	0.433946	0.433936	0.433922	0.433904	0.433882	0.433855	0.433821	0.433780	0.433731	0.433673	0.433603	0.433521	0.433422	0.433305	0.433167	0.433004	0.432812	0.432588	0.432324	0.432016	0.431655	0.431234	0.430743	0.430169	0.429500	0.428719	0.427806	0.426738	0.425485	0.424012	0.422274	0.420217	0.417772	0.414854	0.411363	0.407186	0.402214	0.396385	0.389740	0.382455	0.374695	0.366560	0.358074	0.349218	0.339957	0.330364	0.320950	0.313321	0.309516	0.308441	0.308214	0.308171	0.308163	0.308162	0.308161	0.308161	0.308161	0.308161	0.308161	0.308161	0.308161	0.308161	0.308161	0.308161	0.308161	0.308161	0.308161	0.308161	0.308161	0.308161	0.308161	0.308161	0.308161	0.308161	0.308161	0.308161	0.308161	0.308161	0.308161	0.308161	0.308161	0.308161	0.308161	0.308161	0.308161	0.308161	0.308161	0.308161	0.308161	0.308161	0.308161	0.308161	0.308161	0.308161	0.308161	0.308161	0.308161	0.308161	0.308161	0.308161	0.308161	0.308161	0.308161	0.308161	0.308161	0.308161	0.308161	0.308161	0.308161	0.308161	0.308161	0.308161	0.308161	0.308161	0.308161	0.308161	0.308161	0.308161	0.308161	0.308161	0.308161	0.308161	0.308161	0.308161	0.308161	0.308161	0.308161	0.308161	0.308161	0.308161	0.308161	0.308161	0.308161	0.308161	0.308161	0.308161	0.308161	0.308161	0.308161	0.308161	0.308161	0.308161	0.308161	0.308161	0.308161	0.308161	0.308161	0.308161	0.308161	0.308161	0.308161	0.308161	0.308161
0.429302	0.429302	0.429300	0.429296	0.429292	0.429286	0.429278	0.429268	0.429256	0.429240	0.429220	0.429195	0.429164	0.429125	0.429078	0.429021	0.428954	0.428874	0.428778	0.428664	0.428529	0.428369	0.428180	0.427958	0.427697	0.427391	0.427033	0.426615	0.426126	0.425556	0.424892	0.424118	0.423217	0.422167	0.420942	0.419514	0.417844	0.415890	0.413600	0.410912	0.407755	0.404049	0.399714	0.394682	0.388919	0.382453	0.375376	0.367786	0.359758	0.351332	0.342542	0.333469	0.324421	0.316330	0.310987	0.308831	0.308222	0.308070	0.308033	0.308024	0.308022	0.308021	0.308021	0.308021	0.308021	0.308021	0.308021	0.308021	0.308021	0.308021	0.308021	0.308021	0.308021	0.308021	0.308021	0.308021	0.308021	0.308021	0.308021	0.308021	0.308021	0.308021	0.308021	0.308021	0.308021	0.308021	0.308021	0.308021	0.308021	0.308021	0.308021	0.308021	0.308021	0.308021	0.308021	0.308021	0.308021	0.308021	0.308021	0.308021	0.308021	0.308021	0.308021	0.308021	0.308021	0.308021	0.308021	0.308021	0.308021	0.308021	0.308021	0.308021	0.308021	0.308021	0.308021	0.308021	0.308021	0.308021	0.308021	0.308021	0.308021	0.308021	0.308021	0.308021	0.308021	0.308021	0.308021	0.308021	0.308021	0.308021	0.308021	0.308021	0.308021	0.308021	0.308021	0.308021	0.308021	0.308021	0.308021	0.308021	0.308021	0.308021	0.308021	0.308021	0.308021	0.308021	0.308021	0.308021	0.308021	0.308021	0.308021	0.308021	0.308021	0.308021	0.308021	0.308021	0.308021	0.308021	0.308021	0.308021
0.522816	0.522815	0.522813	0.522810	0.522805	0.522798	0.522789	0.522778	0.522763	0.522745	0.522722	0.522693	0.522657	0.522613	0.522559	0.522494	0.522417	0.522324	0.522213	0.522081	0.521924	0.521738	0.521519	0.521260	0.520956	0.520598	0.520179	0.519689	0.519116	0.518448	0.517668	0.516758	0.515699	0.514464	0.513024	0.511344	0.509382	0.507089	0.504406	0.501265	0.497588	0.493288	0.488279	0.482477	0.475821	0.468281	0.459859	0.450560	0.440382	0.429322	0.417434	0.404970	0.392670	0.382099	0.375147	0.371915	0.370759	0.370400	0.370296	0.370267	0.370259	0.370257	0.370257	0.370256	0.370256	0.370256	0.370256	0.370256	0.370256	0.370256	0.370256	0.370256	0.370256	0.370256	0.370256	0.370256	0.370256	0.370256	0.370256	0.370256	0.370256	0.370256	0.370256	0.370256	0.370256	0.370256	0.370256	0.370256	0.370256	0.370256	0.370256	0.370256	0.370256	0.370256	0.370256	0.370256	0.370256	0.370256	0.370256	0.370256	0.370256	0.370256	0.370256	0.370256	0.370256	0.370256	0.370256	0.370256	0.370256	0.370256	0.370256	0.370256	0.370256	0.370256	0.370256	0.370256	0.370256	0.370256	0.370256	0.370256	0.370256	0.370256	0.370256	0.370256	0.370256	0.370256	0.370256	0.370256	0.370256	0.370256	0.370256	0.370256	0.370256	0.370256	0.370256	0.370256	0.370256	0.370256	0.370256	0.370256	0.370256	0.370256	0.370256	0.370256	0.370256	0.370256	0.370256	0.370256	0.370256	0.370256	0.370256	0.370256	0.370256	0.370256	0.370256	0.370256	0.370256	0.370256	0.370256	0.370256
0.517094	0.517093	0.517091	0.517088	0.517082	0.517075	0.517066	0.517053	0.517038	0.517019	0.516994	0.516964	0.516925	0.516877	0.516820	0.516750	0.516667	0.516567	0.516447	0.516304	0.516134	0.515932	0.515694	0.515413	0.515082	0.514693	0.514237	0.513703	0.513080	0.512352	0.511505	0.510519	0.509372	0.508038	0.506488	0.504687	0.502594	0.500163	0.497338	0.494059	0.490256	0.485857	0.480787	0.474979	0.468377	0.460944	0.452660	0.443519	0.433522	0.422708	0.411230	0.399511	0.388492	0.379687	0.374277	0.371787	0.370858	0.370553	0.370459	0.370432	0.370424	0.370422	0.370421	0.370421	0.370421	0.370421	0.370421	0.370421	0.370421	0.370421	0.370421	0.370421	0.370421	0.370421	0.370421	0.370421	0.370421	0.370421	0.370421	0.370421	0.370421	0.370421	0.370421	0.370421	0.370421	0.370421	0.370421	0.370421	0.370421	0.370421	0.370421	0.370421	0.370421	0.370421	0.370421	0.370421	0.370421	0.370421	0.370421	0.370421	0.370421	0.370421	0.370421	0.370421	0.370421	0.370421	0.370421	0.370421	0.370421	0.370421	0.370421	0.370421	0.370421	0.370421	0.370421	0.370421	0.370421	0.370421	0.370421	0.370421	0.370421	0.370421	0.370421	0.370421	0.370421	0.370421	0.370421	0.370421	0.370421	0.370421	0.370421	0.370421	0.370421	0.370421	0.370421	0.370421	0.370421	0.370421	0.370421	0.370421	0.370421	0.370421	0.370421	0.370421	0.370421	0.370421	0.370421	0.370421	0.370421	0.370421	0.370421	0.370421	0.370421	0.370421	0.370421	0.370421	0.370421	0.370421	0.370421	0.370421
0.510705	0.510704	0.510702	0.510698	0.510693	0.510685	0.510675	0.510663	0.510647	0.510627	0.510601	0.510569	0.510528	0.510478	0.510416	0.510342	0.510254	0.510148	0.510020	0.509866	0.509684	0.509468	0.509212	0.508910	0.508553	0.508134	0.507643	0.507068	0.506396	0.505612	0.504700	0.503640	0.502409	0.500982	0.499327	0.497412	0.495197	0.492636	0.489679	0.486270	0.482347	0.477847	0.472703	0.466857	0.460254	0.452857	0.444639	0.435594	0.425745	0.415196	0.404223	0.393447	0.383975	0.377097	0.373228	0.371512	0.370866	0.370646	0.370576	0.370555	0.370549	0.370548	0.370547	0.370547	0.370547	0.370547	0.370547	0.370547	0.370547	0.370547	0.370547	0.370547	0.370547	0.370547	0.370547	0.370547	0.370547	0.370547	0.370547	0.370547	0.370547	0.370547	0.370547	0.370547	0.370547	0.370547	0.370547	0.370547	0.370547	0.370547	0.370547	0.370547	0.370547	0.370547	0.370547	0.370547	0.370547	0.370547	0.370547	0.370547	0.370547	0.370547	0.370547	0.370547	0.370547	0.370547	0.370547	0.370547	0.370547	0.370547	0.370547	0.370547	0.370547	0.370547	0.370547	0.370547	0.370547	0.370547	0.370547	0.370547	0.370547	0.370547	0.370547	0.370547	0.370547	0.370547	0.370547	0.370547	0.370547	0.370547	0.370547	0.370547	0.370547	0.370547	0.370547	0.370547	0.370547	0.370547	0.370547	0.370547	0.370547	0.370547	0.370547	0.370547	0.370547	0.370547	0.370547	0.370547	0.370547	0.370547	0.370547	0.370547	0.370547	0.370547	0.370547	0.370547	0.370547	0.370547	0.370547	0.370547
0.503538	0.503537	0.503535	0.503531	0.503525	0.503517	0.503507	0.503495	0.503478	0.503457	0.503431	0.503397	0.503355	0.503303	0.503239	0.503161	0.503068	0.502956	0.502821	0.502659	0.502466	0.502237	0.501964	0.501642	0.501262	0.500815	0.500290	0.499676	0.498958	0.498121	0.497148	0.496017	0.494706	0.493189	0.491435	0.489412	0.487079	0.484395	0.481311	0.477775	0.473732	0.469122	0.463887	0.457972	0.451328	0.443918	0.435723	0.426752	0.417079	0.406906	0.396682	0.387233	0.379687	0.374813	0.372313	0.371246	0.370843	0.370703	0.370658	0.370644	0.370639	0.370638	0.370638	0.370638	0.370638	0.370638	0.370638	0.370638	0.370638	0.370638	0.370638	0.370638	0.370638	0.370638	0.370638	0.370638	0.370638	0.370638	0.370638	0.370638	0.370638	0.370638	0.370638	0.370638	0.370638	0.370638	0.370638	0.370638	0.370638	0.370638	0.370638	0.370638	0.370638	0.370638	0.370638	0.370638	0.370638	0.370638	0.370638	0.370638	0.370638	0.370638	0.370638	0.370638	0.370638	0.370638	0.370638	0.370638	0.370638	0.370638	0.370638	0.370638	0.370638	0.370638	0.370638	0.370638	0.370638	0.370638	0.370638	0.370638	0.370638	0.370638	0.370638	0.370638	0.370638	0.370638	0.370638	0.370638	0.370638	0.370638	0.370638	0.370638	0.370638	0.370638	0.370638	0.370638	0.370638	0.370638	0.370638	0.370638	0.370638	0.370638	0.370638	0.370638	0.370638	0.370638	0.370638	0.370638	0.370638	0.370638	0.370638	0.370638	0.370638	0.370638	0.370638	0.370638	0.370638	0.370638	0.370638	0.370638
